	 time 		 X 		 Y

	34.44		-0.28		-3.17		
	34.61		0.81		-3.42		
	34.73		1.03		-3.61		
	34.89		1.21		-3.70		
	35.00		1.27		-3.95		
	35.13		1.74		-4.19		
	35.25		3.22		-4.36		
	35.36		5.76		-4.23		
	35.45		7.20		-3.92		
	35.56		6.68		-3.56		
	35.70		3.73		-3.61		
	35.80		-1.54		-3.29		
	35.89		-9.40		-2.89		
	36.06		-14.08		-3.27		
	36.08		-14.08		-3.27		
	36.17		-14.88		-3.27		
	36.28		-15.94		-3.29		
	36.42		-16.42		-2.90		
	36.53		-16.61		-2.62		
	36.63		-15.92		-2.21		
	36.73		-15.40		-1.82		
	36.84		-15.60		-1.70		
	36.95		-15.81		-1.38		
	37.05		-15.20		-0.98		
	37.16		-14.40		-0.94		
	37.27		-11.79		-1.25		
	37.41		-10.32		-0.80		
	37.53		-10.05		-0.48		
	37.67		-9.85		-0.32		
	37.83		-9.60		-0.13		
	38.00		-7.95		0.30		
	38.16		-7.02		0.71		
	38.23		-6.85		0.76		
	38.36		-6.78		0.69		
	38.44		-7.09		0.81		
	38.52		-7.10		0.78		
	38.75		-7.75		0.93		
	38.92		-8.16		0.84		
	39.09		-8.47		0.75		
	39.25		-8.73		0.77		
	39.52		-9.13		1.11		
	39.84		-9.45		1.18		
	40.14		-9.02		1.02		
	40.33		-9.12		0.81		
	40.50		-9.35		0.67		
	40.67		-9.56		0.63		
	40.83		-9.81		0.67		
	41.02		-9.92		0.77		
	41.22		-10.54		0.97		
	41.41		-11.72		1.25		
	41.69		-12.92		1.38		
	41.89		-13.46		1.50		
	42.08		-12.61		1.14		
	42.31		-9.23		0.09		
	42.55		-5.25		-0.97		
	42.72		-1.74		-1.71		
	42.91		2.39		-2.21		
	43.09		5.18		-2.45		
	43.30		6.43		-2.38		
	43.39		8.10		-2.37		
	43.48		9.46		-2.10		
	43.63		10.85		-1.85		
	43.73		11.57		-1.62		
	43.84		11.09		0.38		
	43.95		9.77		1.03		
	44.06		9.37		1.27		
	44.14		8.97		1.22		
	44.25		8.73		-0.31		
	44.34		9.37		-1.35		
	44.47		9.96		-2.40		
	44.55		10.64		-3.79		
	44.64		10.95		-4.94		
	44.78		11.10		-6.05		
	44.91		10.22		-7.37		
	45.02		8.69		-7.62		
	45.11		7.16		-7.61		
	45.22		6.16		-7.60		
