	 time 		 X 		 Y

	30.17		-1.27		-3.29		
	30.30		-1.34		-4.72		
	30.39		-1.32		-4.86		
	30.52		-1.09		-4.61		
	30.61		-0.83		-4.36		
	30.72		-0.65		-4.20		
	30.81		-0.55		-4.08		
	30.98		-0.53		-4.08		
	31.08		-0.60		-4.11		
	31.19		-1.01		-4.26		
	31.30		-1.44		-4.37		
	31.41		-2.49		-4.70		
	31.48		-3.13		-5.47		
	31.59		-3.10		-5.86		
	31.69		-2.07		-4.80		
	31.78		-0.98		-3.55		
	31.89		1.29		-1.33		
	32.00		3.64		1.03		
	32.11		5.21		3.39		
	32.23		6.35		5.90		
	32.38		7.27		5.28		
	32.47		8.15		5.27		
	32.56		8.57		5.35		
	32.72		8.60		5.40		
	32.94		8.60		5.43		
	33.05		8.61		5.51		
	33.14		8.51		5.39		
	33.33		8.71		4.92		
	33.47		8.93		4.72		
	33.59		9.14		4.63		
	33.77		8.88		4.10		
	33.86		8.75		3.70		
	33.95		8.81		3.28		
	34.08		9.08		3.26		
	34.22		9.35		3.07		
	34.33		9.54		2.81		
	34.48		9.41		2.88		
	34.56		9.13		3.73		
	34.69		8.79		4.22		
	34.86		7.78		4.83		
	34.98		7.05		4.89		
	35.17		6.57		4.89		
	35.27		6.46		4.95		
	35.38		6.50		5.10		
	35.50		6.63		5.25		
	35.67		6.66		5.26		
	35.83		6.95		5.31		
	36.03		7.37		5.36		
	36.14		7.55		5.41		
	36.25		7.69		5.52		
	36.34		7.68		5.54		
	36.48		7.66		5.58		
	36.67		7.39		5.47		
	36.91		7.33		5.60		
	37.11		6.97		5.33		
	37.28		6.61		4.93		
	37.47		6.63		4.60		
	37.61		6.52		4.44		
	37.77		6.86		4.57		
	37.95		7.43		5.12		
	38.11		8.72		5.80		
	38.28		9.49		6.19		
	38.42		9.73		6.22		
	38.61		10.56		5.96		
	38.78		11.28		5.84		
	38.95		11.38		5.79		
	39.22		5.60		5.42		
	39.44		-1.29		3.71		
	39.61		-5.49		1.57		
	39.80		-7.78		0.74		
	39.94		-10.17		-0.49		
	40.13		-11.10		-2.09		
	40.27		-11.90		-4.71		
	40.38		-11.49		-6.08		
	40.47		-11.06		-7.72		
	40.59		-12.13		-8.10		
	40.70		-8.77		-8.14		
	40.80		-6.53		-8.85		
	40.89		-3.63		-8.71		
	40.98		-0.89		-7.87		
	41.14		0.93		-8.08		
	41.17		1.26		-8.18		
	41.25		1.98		-8.80		
	41.36		2.52		-9.30		
	41.44		2.32		-9.28		
	41.56		1.31		-9.17		
	41.67		-0.24		-9.55		
	41.77		-1.52		-9.38		
	41.89		-2.41		-8.84		
	42.00		-2.93		-8.58		
	42.08		-2.90		-8.34		
	42.17		-2.88		-8.12		
	42.28		-3.31		-7.39		
	42.47		-2.35		-6.31		
	42.52		-0.43		-6.33		
	42.77		1.86		-6.36		
	42.83		2.10		-6.50		
	42.91		2.68		-6.81		
	43.02		3.86		-6.20		
	43.13		4.54		-5.06		
	43.22		4.49		-5.43		
	43.33		4.34		-5.94		
	43.44		3.63		-6.38		
	43.55		3.17		-6.22		
	43.66		2.23		-4.71		
	43.73		0.98		-3.85		
	43.86		-0.35		-3.83		
	43.97		0.02		-4.21		
	44.05		0.09		-4.22		
	44.13		0.21		-4.36		
	44.23		0.20		-4.58		
	44.34		-0.09		-4.93		
	44.56		0.01		-5.42		
	44.59		0.11		-5.54		
	44.69		0.83		-6.10		
	44.75		1.18		-6.39		
	44.89		0.95		-6.63		
	45.00		-0.49		-6.31		
	45.11		-1.65		-6.05		
	45.20		-2.09		-6.01		
	45.30		-2.18		-6.00		
	45.50		-1.77		-5.74		
	45.66		-2.39		-5.42		
	45.84		-4.07		-5.07		
	45.91		-5.01		-4.96		
	46.11		-5.74		-4.87		
	46.20		-5.96		-4.95		
	46.30		-5.97		-5.02		
	46.47		-5.99		-5.11		
	46.66		-6.48		-5.03		
	46.70		-6.92		-5.01		
	46.80		-6.83		-5.16		
	46.89		-5.86		-5.11		
	47.03		-3.57		-4.81		
	47.16		-1.67		-4.85		
	47.34		-1.05		-4.46		
	47.45		-0.95		-4.37		
	47.59		-1.04		-4.50		
	47.70		-1.33		-4.64		
	47.80		-1.95		-4.84		
	47.98		-2.08		-4.79		
	48.11		-1.91		-4.68		
	48.22		0.17		-3.69		
	48.27		0.17		-3.66		
	48.34		-0.97		-3.92		
	48.50		-4.33		-4.95		
	48.59		-5.18		-5.52		
	48.70		-5.00		-5.69		
	48.78		-5.00		-5.90		
	48.89		-5.02		-6.08		
	49.00		-5.18		-6.53		
	49.06		-4.96		-6.70		
	49.22		-4.96		-6.82		
	49.30		-5.00		-6.99		
	49.48		-4.89		-6.80		
	49.58		-4.63		-6.46		
	49.67		-4.79		-6.16		
	49.89		-6.76		-6.52		
	49.98		-7.51		-6.76		
	50.05		-8.26		-6.93		
	50.20		-9.85		-6.75		
	50.30		-10.54		-6.76		
	50.41		-8.21		-6.55		
	50.50		-0.55		-6.39		
	50.64		9.90		-6.70		
	50.66		10.60		-6.81		
	50.75		12.28		-6.90		
	50.86		12.57		-6.19		
	50.97		12.43		-5.79		
	51.11		12.30		-5.98		
	51.16		11.16		-6.32		
	51.27		10.03		-6.45		
	51.36		9.26		-6.32		
	51.45		7.30		-6.29		
	51.55		1.03		-6.75		
	51.66		-6.85		-7.69		
	51.73		-10.19		-8.14		
	51.84		-13.39		-7.92		
	51.97		-14.40		-7.68		
	52.06		-14.29		-6.95		
	52.13		-12.62		-5.76		
	52.20		-11.86		-5.62		
	52.31		-9.99		-5.96		
	52.42		-11.08		-6.31		
	52.53		-11.10		-6.70		
	52.67		-10.48		-6.75		
	52.75		-10.09		-6.91		
	52.86		-9.02		-7.40		
	52.98		-8.32		-7.96		
	53.09		-8.20		-8.71		
	53.19		-7.37		-9.32		
	53.30		-5.54		-9.58		
	53.39		-4.47		-9.54		
	53.50		-3.18		-9.38		
	53.63		-1.91		-9.58		
	53.69		-0.68		-9.81		
	53.80		0.50		-9.37		
	53.95		0.35		-8.41		
	54.14		-0.54		-6.89		
