	 time 		 X 		 Y

	37.16		5.61		-4.14		
	37.31		7.55		-4.86		
	37.39		8.85		-5.26		
	37.47		9.11		-4.93		
	37.55		9.39		-4.93		
	37.64		9.65		-4.08		
	37.72		9.65		-2.82		
	37.83		9.64		-1.90		
	37.91		9.75		-2.09		
	37.98		6.76		-2.10		
	38.06		-2.12		-2.04		
	38.13		-9.02		-2.90		
	38.20		-10.48		-3.38		
	38.30		-12.85		-3.40		
	38.39		-9.70		-2.14		
	38.45		-7.55		-1.56		
	38.53		-3.12		-0.77		
	38.61		1.33		-0.13		
	38.67		3.83		0.32		
	38.77		5.41		0.92		
	38.84		5.60		1.03		
	38.94		7.23		1.90		
	39.02		7.55		2.03		
	39.13		8.25		3.26		
	39.20		8.19		3.52		
	39.30		8.02		3.52		
	39.33		7.43		3.42		
	39.44		7.16		3.07		
	39.52		7.14		2.86		
	39.53		7.12		2.82		
	39.63		7.30		2.82		
	39.72		7.42		2.86		
	39.81		7.93		3.08		
	39.84		8.60		3.36		
	39.92		8.78		3.32		
	40.00		8.80		3.31		
	40.09		8.88		3.13		
	40.17		8.80		3.05		
	40.23		8.76		2.75		
	40.31		8.56		2.46		
	40.39		8.43		2.41		
	40.45		8.31		2.47		
	40.50		8.24		2.57		
	40.59		8.21		2.62		
	40.66		8.21		2.56		
	40.72		8.14		2.38		
	40.77		8.18		2.33		
	40.86		8.19		2.39		
	40.92		8.07		2.49		
	41.00		7.96		2.49		
	41.08		7.99		2.49		
	41.14		7.98		2.47		
	41.22		8.09		2.55		
	41.33		8.42		2.96		
	41.38		8.46		3.16		
	41.45		8.46		3.16		
	41.53		8.58		3.38		
	41.59		8.57		3.43		
	41.70		8.61		3.55		
	41.77		8.58		3.58		
	41.83		8.60		3.78		
	41.91		8.63		3.85		
	41.98		8.56		3.88		
	42.06		8.53		3.92		
	42.13		8.48		3.92		
	42.31		8.32		3.70		
	42.53		8.25		3.83		
	42.67		8.16		4.04		
	42.84		8.10		4.10		
	43.00		7.98		4.07		
	43.19		7.72		3.82		
	43.39		7.67		3.74		
	43.52		7.68		3.63		
	43.64		7.79		3.59		
	43.81		8.08		3.56		
	44.00		8.31		3.64		
	44.14		8.36		3.58		
	44.27		8.31		3.34		
	44.42		7.98		3.06		
	44.58		6.94		2.05		
	44.75		6.53		1.75		
	44.86		6.05		1.58		
	45.00		5.94		1.51		
	45.13		6.06		1.48		
	45.27		6.47		1.56		
	45.38		6.57		1.61		
	45.48		6.99		1.81		
	45.63		7.43		1.91		
	45.75		7.95		2.35		
	45.86		8.40		2.86		
	45.89		8.68		3.19		
	45.94		8.77		3.09		
	46.08		8.87		2.88		
	46.14		9.04		3.21		
	46.22		9.09		3.35		
	46.30		9.30		3.43		
	46.38		9.48		3.65		
	46.45		9.58		3.78		
	46.55		9.55		3.86		
	46.61		9.46		3.63		
	46.66		9.13		3.22		
	46.73		9.18		3.03		
	46.83		9.42		2.75		
	46.92		9.69		2.62		
	46.98		9.86		2.37		
	47.06		9.89		2.47		
	47.16		9.64		2.93		
	47.27		9.51		3.29		
	47.33		9.34		3.84		
	47.41		9.43		4.17		
	47.50		9.68		4.88		
	47.56		9.70		5.14		
	47.64		9.69		5.61		
	47.72		9.14		6.61		
	47.80		8.98		6.73		
	47.89		8.55		6.98		
	47.95		8.23		7.01		
	48.03		7.55		6.70		
	48.09		6.92		6.43		
	48.19		6.63		6.04		
	48.25		6.59		5.06		
	48.31		7.06		4.08		
	48.39		7.66		3.69		
	48.47		9.17		2.41		
	48.53		9.99		1.65		
	48.61		10.29		1.45		
	48.69		10.91		1.02		
	48.77		10.99		1.01		
	48.83		11.02		0.87		
	48.91		10.46		0.98		
	49.00		10.39		1.23		
	49.06		11.17		1.55		
	49.14		11.64		1.78		
	49.20		12.15		2.04		
	49.28		12.21		1.90		
	49.36		12.01		1.64		
	49.44		11.86		1.70		
	49.50		10.46		1.55		
	49.58		9.94		1.03		
	49.69		9.71		0.66		
	49.75		9.44		-0.49		
	49.80		9.26		-1.17		
	49.89		7.27		-4.31		
	49.97		5.46		-5.90		
	50.05		2.95		-6.73		
	50.11		2.97		-6.69		
	50.17		3.97		-5.93		
	50.23		4.50		-5.57		
	50.31		9.54		-2.54		
	50.39		11.22		-0.93		
	50.47		13.42		1.87		
	50.55		13.86		2.51		
	50.61		14.20		2.82		
	50.69		14.36		2.90		
	50.77		14.58		2.69		
	50.86		14.53		2.61		
	50.94		13.90		1.98		
	51.02		12.19		1.08		
	51.09		7.27		0.99		
	51.20		-2.21		-0.10		
	51.23		-4.30		-0.65		
	51.28		-12.06		-3.02		
	51.36		-13.31		-2.67		
	51.44		-13.39		-2.07		
	51.52		-8.78		-0.81		
	51.59		-1.61		0.51		
	51.66		2.25		0.71		
	51.78		4.22		0.42		
	51.83		6.90		0.86		
	51.91		9.10		1.14		
	51.92		9.68		1.25		
	51.95		11.14		1.51		
	52.05		13.14		2.81		
	52.13		13.39		3.41		
	52.22		13.11		3.26		
	52.31		12.58		2.85		
	52.38		11.81		2.83		
	52.45		12.35		3.04		
	52.55		13.37		2.91		
	52.61		14.04		3.03		
	52.69		14.19		3.19		
	52.75		13.82		3.18		
	52.83		11.43		2.09		
	52.89		9.68		0.80		
	52.97		6.71		-0.58		
	53.08		3.47		-1.55		
	53.16		2.81		-1.63		
	53.22		2.47		-1.61		
	53.28		2.45		-1.51		
	53.34		3.17		-1.06		
	53.41		3.97		-0.71		
	53.47		4.43		-0.54		
	53.53		4.64		-0.44		
	53.58		5.09		-0.17		
	53.63		6.71		0.51		
	53.69		8.44		1.36		
	53.72		8.44		1.36		
	53.78		10.43		1.83		
	53.86		10.89		1.59		
	53.94		10.49		1.41		
	54.00		10.03		1.67		
	54.09		9.74		1.90		
	54.17		9.75		2.31		
	54.22		9.82		2.69		
	54.31		9.16		2.45		
	54.39		8.86		2.02		
	54.47		8.71		1.24		
	54.52		8.51		0.86		
	54.64		7.51		0.55		
	54.81		6.92		0.28		
	54.97		6.46		0.53		
	55.09		6.63		0.84		
	55.25		7.13		1.20		
	55.41		6.66		1.43		
	55.52		5.98		1.23		
	55.67		5.57		1.43		
	55.78		5.72		1.58		
	55.84		6.08		1.63		
	55.92		6.38		1.69		
	55.98		6.67		1.54		
	56.06		6.83		1.32		
	56.16		7.11		1.22		
	56.20		7.35		1.27		
	56.30		7.63		1.38		
	56.38		7.92		1.28		
	56.44		8.27		1.15		
	56.52		8.36		0.97		
	56.56		8.35		0.79		
	56.64		8.12		0.58		
	56.73		7.88		0.33		
	56.81		7.29		0.15		
	56.86		6.73		-0.02		
	56.94		5.55		-0.21		
	57.02		4.37		-0.69		
	57.09		3.41		-1.22		
	57.16		3.41		-1.41		
	57.23		3.90		-1.59		
	57.31		4.36		-1.64		
	57.38		5.29		-1.51		
	57.47		6.90		-1.21		
	57.55		8.44		-0.25		
	57.61		10.34		1.26		
	57.67		11.45		1.99		
	57.75		12.18		2.27		
	57.84		12.60		2.21		
	57.94		12.51		2.33		
	58.00		12.58		2.65		
	58.06		12.77		2.88		
	58.14		13.12		3.31		
