	 time 		 X 		 Y

	56.84		1.14		-3.87		
	56.97		0.96		-4.67		
	57.09		0.72		-5.09		
	57.22		0.68		-5.34		
	57.31		0.38		-5.81		
	57.44		-0.02		-5.97		
	57.56		-0.10		-6.28		
	57.66		-0.11		-6.46		
	57.75		-0.21		-6.53		
	57.86		-0.59		-6.54		
	57.97		-1.53		-5.99		
	58.08		-2.95		-5.52		
	58.19		-3.41		-5.52		
	58.31		-3.05		-5.50		
	58.42		-2.02		-5.09		
	58.56		-0.90		-4.23		
	58.66		-0.14		-3.26		
	58.77		1.31		-2.28		
	58.91		3.50		-0.78		
	59.00		5.32		-0.16		
	59.11		6.34		0.22		
	59.22		7.54		0.60		
	59.30		8.81		0.55		
	59.41		8.53		0.72		
	59.53		8.43		1.84		
	59.64		7.39		2.01		
	59.75		4.19		1.02		
	59.84		2.77		0.11		
	59.98		4.50		0.86		
	60.13		6.20		2.16		
	60.23		7.00		2.10		
	60.36		7.41		1.79		
	60.50		7.38		2.18		
	60.61		7.33		2.58		
	60.72		7.33		2.84		
	60.89		7.07		3.02		
	60.98		6.97		3.08		
	61.06		6.95		3.11		
	61.17		6.81		3.08		
	61.27		6.68		3.03		
	61.58		6.27		2.40		
	61.70		6.33		2.28		
	61.78		6.46		2.17		
	61.89		6.22		2.00		
	61.98		5.05		1.46		
	62.09		6.13		2.02		
	62.19		7.66		4.02		
	62.36		9.15		5.72		
	62.44		9.72		5.87		
	62.58		9.74		5.78		
	62.69		8.81		4.98		
	62.78		8.20		4.16		
	62.88		8.10		3.75		
	62.92		8.08		3.60		
	63.08		7.62		3.43		
	63.20		7.38		3.31		
	63.28		7.27		3.17		
	63.58		7.06		2.16		
	63.67		7.11		1.95		
	63.77		7.30		0.68		
	63.86		7.44		0.59		
	63.98		7.62		0.57		
	64.06		7.69		0.54		
	64.17		7.61		0.26		
	64.28		7.16		-0.09		
	64.42		6.43		-1.07		
	64.55		5.48		-1.81		
	64.64		4.39		-2.92		
	64.75		3.69		-3.49		
	64.84		3.41		-3.61		
	64.94		3.18		-3.32		
	65.05		3.22		-3.50		
	65.16		3.20		-4.31		
	65.25		2.96		-4.70		
	65.39		3.03		-4.43		
	65.47		3.32		-3.94		
	65.56		3.64		-3.53		
	65.64		4.16		-2.98		
	65.75		5.15		-2.14		
	65.88		5.73		-1.62		
	65.98		6.13		-1.11		
	66.08		6.43		-0.90		
	66.19		6.80		-0.75		
	66.30		6.96		-0.40		
	66.38		7.01		-0.02		
	66.47		6.99		-0.10		
	66.58		7.09		-0.15		
