	 time 		 X 		 Y

	31.20		-1.34		-0.71		
	31.34		-1.44		-0.91		
	31.44		-1.47		-0.86		
	31.56		-1.54		-0.78		
	31.67		-1.47		-0.84		
	31.75		-1.46		-0.89		
	31.88		-1.44		-1.05		
	31.98		-1.54		-1.20		
	32.08		-1.68		-1.06		
	32.17		-2.00		-0.77		
	32.28		-2.53		-0.10		
	32.36		-2.82		0.32		
	32.47		-3.35		0.66		
	32.56		-3.67		-0.47		
	32.67		-3.73		-2.32		
	32.78		-2.50		-2.94		
	32.86		-1.17		-3.01		
	32.97		1.44		-2.12		
	33.06		4.27		-2.21		
	33.19		7.29		-3.15		
	33.30		7.91		-3.57		
	33.39		8.09		-3.36		
	33.50		7.48		-3.48		
	33.61		6.31		-3.85		
	33.72		4.88		-3.23		
	33.84		5.66		-1.26		
	33.95		6.46		-0.01		
	34.05		6.86		1.24		
	34.14		6.67		2.32		
	34.30		6.30		3.37		
	34.38		6.22		3.50		
	34.56		6.14		3.46		
	34.69		5.53		3.84		
	34.84		4.99		3.94		
	34.92		3.38		4.20		
	35.03		3.40		4.38		
	35.13		3.69		3.95		
	35.23		2.43		3.73		
	35.33		1.90		3.74		
	35.44		1.84		3.84		
	35.52		1.55		3.78		
	35.63		1.49		3.49		
	35.73		1.51		3.31		
	35.81		1.67		3.29		
	35.92		1.98		3.28		
	36.03		2.27		3.24		
	36.13		2.52		3.25		
	36.20		2.78		3.53		
	36.31		2.85		3.73		
	36.42		2.91		3.68		
	36.50		3.23		3.77		
	36.61		3.89		4.06		
	36.73		4.10		4.24		
	36.81		4.32		4.41		
	36.92		4.15		4.06		
	37.03		3.84		3.67		
	37.11		3.74		3.33		
	37.19		3.85		3.21		
	37.30		3.99		3.32		
	37.39		3.95		3.65		
	37.48		3.97		3.96		
	37.63		4.09		4.07		
	37.73		4.38		4.06		
	37.84		4.31		3.78		
	37.95		4.31		3.62		
	38.05		4.84		3.29		
	38.17		5.90		2.94		
	38.25		6.79		2.87		
	38.42		6.54		2.92		
	38.50		6.32		3.38		
	38.69		4.37		3.91		
	38.84		3.10		4.02		
	38.97		-0.05		4.01		
	39.08		-1.30		4.03		
	39.17		-2.04		4.09		
	39.27		-2.24		4.12		
	39.34		-1.99		4.20		
	39.45		-1.58		4.32		
	39.53		-1.36		4.64		
	39.61		-1.58		5.04		
	39.72		-1.80		5.08		
	39.81		-3.40		5.42		
	39.91		-3.70		5.12		
	40.02		-1.94		4.49		
	40.11		0.97		3.57		
	40.19		4.61		-0.02		
	40.28		7.22		-1.29		
	40.38		8.93		-2.32		
	40.47		9.67		-2.72		
	40.56		9.99		-2.10		
	40.64		9.28		-1.63		
	40.75		8.62		-0.76		
	40.83		7.99		-0.54		
	40.94		6.44		-0.10		
	41.02		5.11		0.44		
	41.09		2.87		0.90		
	41.17		0.56		1.39		
	41.27		-1.61		1.71		
	41.38		-2.80		2.01		
	41.45		-4.42		2.28		
	41.53		-5.82		2.70		
	41.64		-7.10		3.33		
	41.73		-7.90		3.47		
	41.81		-8.66		3.45		
	41.89		-9.25		3.70		
	42.00		-8.89		4.41		
	42.09		-7.12		4.39		
	42.19		-5.96		4.44		
	42.27		-5.20		4.33		
	42.38		-5.09		4.25		
	42.45		-4.91		4.09		
	42.53		-4.84		4.03		
	42.64		-5.18		3.49		
	42.72		-5.34		2.97		
	42.81		-4.43		2.90		
	42.92		-3.17		3.00		
	43.02		-1.12		3.06		
	43.11		0.08		2.88		
	43.20		2.71		2.71		
	43.30		5.60		3.15		
	43.39		7.39		3.34		
	43.53		8.58		3.43		
	43.61		8.77		3.54		
	43.67		8.85		3.75		
	43.84		8.80		4.11		
	43.95		8.63		4.15		
	44.06		8.71		4.31		
	44.25		8.93		4.07		
	44.33		8.92		3.99		
	44.39		9.13		3.97		
	44.48		9.24		4.11		
	44.66		9.12		3.95		
	44.73		8.96		4.09		
	44.83		8.83		4.06		
	44.95		8.55		3.98		
	45.02		8.29		3.74		
	45.20		8.03		3.37		
	45.36		7.91		3.34		
	45.45		7.66		3.53		
	45.58		6.46		3.48		
	45.81		3.14		2.83		
	46.03		1.64		2.90		
	46.23		-0.59		3.07		
	46.45		-2.54		3.78		
	46.59		-3.37		4.13		
	46.77		-4.33		4.40		
	46.92		-5.18		4.84		
	47.13		-5.93		5.21		
	47.27		-6.07		5.58		
	47.44		-6.55		5.59		
	47.56		-6.88		5.44		
	47.70		-7.07		5.12		
	47.92		-6.55		4.93		
	48.11		-5.50		4.38		
	48.27		-3.46		3.36		
	48.41		-2.34		2.54		
	48.58		-1.80		2.00		
	48.70		-0.76		1.49		
	48.89		-0.17		1.04		
	49.09		0.42		0.58		
	49.23		0.82		0.18		
	49.39		0.96		0.17		
	49.55		1.68		0.16		
	49.64		2.53		0.30		
	49.73		3.08		0.60		
	49.83		3.30		0.79		
	49.92		1.47		1.01		
