			Calibration results:

	 zeroX 	 zeroY 	 XMaxWeight 	 XMinWeight 	 YMaxWeight 	 YMinWeight
	 0.00 	 0.00 	 12.00 	 -12.00 	 8.00 	 -8.00 


	 centerAx 	 centerAy 	 centerBx 	 centerBy 	 centerCx 	 centerCy 	 centerDx 	 centerDy 	 centerEx 	 centerEy 	 centerFx 	 centerFy
	 -6.00 	 5.00 	 9.00 	 5.00 	 -9.00 	 0.00 	 5.00 	 0.00 	 -3.00 	 -5.00 	 7.00 	 -5.00 


	 trialNum 	 date 	 time 	 targetlNum 	 targetTime 	 Weightshift success 	 button success 	 random or set sequence 	 X coord of target 	 Y coord of target 	 COPtotalpath 	 ScorePerTarget 	 ScorePerTrial 	 CumulativeScore 
	 7 	 August 10, 2016 	  3:12:58.776 PM 	 1 	 6.61 	 1 	 1 	 1 	 -4.28 	 -5.43 	 55.68 	 4 	 28 	 201 
	 8 	 August 10, 2016 	  3:12:58.776 PM 	 4 	 10.00 	 1 	 0 	 0 	 5.42 	 1.52 	 90.97 	 0 	 0 	 201 
	 8 	 August 10, 2016 	  3:13:20.604 PM 	 1 	 10.00 	 1 	 1 	 0 	 -4.67 	 -3.42 	 125.01 	 0 	 0 	 201 
	 8 	 August 10, 2016 	  3:13:24.404 PM 	 3 	 3.77 	 1 	 1 	 0 	 -8.33 	 5.46 	 32.04 	 7 	 7 	 208 
	 8 	 August 10, 2016 	  3:13:30.884 PM 	 5 	 6.45 	 1 	 1 	 0 	 6.38 	 3.02 	 52.69 	 4 	 11 	 212 
	 8 	 August 10, 2016 	  3:13:37.561 PM 	 2 	 6.65 	 1 	 1 	 0 	 -10.51 	 0.09 	 53.05 	 4 	 15 	 216 
	 9 	 August 10, 2016 	  3:13:46.951 PM 	 4 	 8.10 	 1 	 1 	 0 	 8.04 	 3.23 	 65.56 	 2 	 2 	 218 
	 9 	 August 10, 2016 	  3:13:52.165 PM 	 1 	 5.18 	 1 	 1 	 0 	 -5.39 	 -6.99 	 61.20 	 5 	 7 	 223 
	 9 	 August 10, 2016 	  3:13:54.936 PM 	 3 	 2.74 	 1 	 1 	 0 	 -7.89 	 5.54 	 20.58 	 8 	 15 	 231 
	 9 	 August 10, 2016 	  3:13:58.216 PM 	 5 	 3.25 	 1 	 1 	 0 	 4.89 	 1.20 	 37.00 	 7 	 22 	 238 
	 9 	 August 10, 2016 	  3:14:00.788 PM 	 2 	 2.54 	 1 	 1 	 0 	 -7.04 	 1.39 	 24.77 	 8 	 30 	 246 
	 10 	 August 10, 2016 	  3:14:10.305 PM 	 4 	 7.98 	 1 	 1 	 0 	 7.90 	 2.38 	 57.42 	 3 	 3 	 249 
	 10 	 August 10, 2016 	  3:14:17.474 PM 	 1 	 7.14 	 1 	 1 	 0 	 -3.54 	 -5.02 	 98.88 	 3 	 6 	 252 
	 10 	 August 10, 2016 	  3:14:21.063 PM 	 3 	 3.56 	 1 	 1 	 0 	 -5.74 	 5.01 	 31.53 	 7 	 13 	 259 
	 10 	 August 10, 2016 	  3:14:26.185 PM 	 5 	 5.09 	 1 	 1 	 0 	 3.22 	 3.03 	 38.98 	 5 	 18 	 264 
	 10 	 August 10, 2016 	  3:14:29.334 PM 	 2 	 3.12 	 1 	 1 	 0 	 -9.49 	 1.35 	 29.08 	 7 	 25 	 271 
